,Material,Diameter (nm),Zeta potential (mV),Cell_type,Concentration (g/L),Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
0,Ag,28.41,-33.33,HeLa,3.555454180043988e-07,3.661017,0,L,human,Epithelial,Adult,cervix,72.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
1,Ag,28.41,-33.33,HeLa,2.84436334403519e-08,48.47682,0,L,human,Epithelial,Adult,cervix,48.0,NR,toluylene red,107.8682,1.93,Ag,1.086666666666667
2,Ag,28.41,-33.33,HeLa,1.137745337614076e-07,65.960266,0,L,human,Epithelial,Adult,cervix,24.0,NR,toluylene red,107.8682,1.93,Ag,1.086666666666667
3,Ag,28.41,-33.33,HaCat,8.533090032105572e-07,23.713354,0,L,human,Keratinocyte,Adult,skin,48.0,NR,toluylene red,107.8682,1.93,Ag,1.086666666666667
4,Ag,28.41,-33.33,HaCat,8.533090032105572e-07,20.521173,0,L,human,Keratinocyte,Adult,skin,72.0,NR,toluylene red,107.8682,1.93,Ag,1.086666666666667
5,Ag,28.41,-33.33,HaCat,1.137745337614076e-06,21.889252,0,L,human,Keratinocyte,Adult,skin,48.0,NR,toluylene red,107.8682,1.93,Ag,1.086666666666667
6,Ag,28.41,-33.33,HaCat,5.688726688070381e-07,3.986711,0,L,human,Keratinocyte,Adult,skin,72.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
7,Ag,28.41,-33.33,HeLa,1.137745337614076e-07,18.305084,0,L,human,Epithelial,Adult,cervix,24.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
8,Ag,28.41,-33.33,HeLa,3.555454180043988e-07,32.083332,0,L,human,Epithelial,Adult,cervix,24.0,AlamarBlue,AlamarBlue,107.8682,1.93,Ag,1.086666666666667
9,Ag,28.41,-33.33,HaCat,1.422181672017595e-06,11.561461,0,L,human,Keratinocyte,Adult,skin,24.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
10,Ag,28.41,-33.33,HaCat,1.137745337614076e-06,6.7774086,0,L,human,Keratinocyte,Adult,skin,72.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
11,Ag,28.41,-33.33,HaCat,1.137745337614076e-06,5.9800663,0,L,human,Keratinocyte,Adult,skin,48.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
12,Ag,28.41,-33.33,HaCat,1.137745337614076e-06,9.568107,0,L,human,Keratinocyte,Adult,skin,24.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
13,Ag,28.41,-33.33,HaCat,8.533090032105572e-07,4.385382,0,L,human,Keratinocyte,Adult,skin,72.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
14,Ag,28.41,-33.33,HaCat,5.688726688070381e-07,3.1893687,0,L,human,Keratinocyte,Adult,skin,48.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
15,Ag,28.41,-33.33,HaCat,8.533090032105572e-07,4.385382,0,L,human,Keratinocyte,Adult,skin,48.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
16,Ag,28.41,-33.33,HaCat,5.688726688070381e-07,6.3787374,0,L,human,Keratinocyte,Adult,skin,24.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
17,Ag,28.41,-33.33,HeLa,1.137745337614076e-07,5.6949153,0,L,human,Epithelial,Adult,cervix,48.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
18,Ag,28.41,-33.33,HaCat,2.84436334403519e-07,9.1694355,0,L,human,Keratinocyte,Adult,skin,48.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
19,Ag,28.41,-33.33,HaCat,2.84436334403519e-07,12.358804,0,L,human,Keratinocyte,Adult,skin,24.0,MTT,TetrazoliumSalt,107.8682,1.93,Ag,1.086666666666667
